-0.25,0.474,0.188,
-0.075,0.425,0.188,
0.178,0.51,0.188,
0.271,0.541,0.188,
-0.19,0.386,0.188,
0.139,0.497,0.188,
0.168,0.506,0.188,
0.059,0.47,0.188,
0.058,0.469,0.188,
-0.207,0.381,0.188,
-0.033,0.439,0.188,
-0.207,0.381,0.188,
-0.24,0.37,0.188,
-0.266,0.361,0.188,
-0.024,0.442,0.188,
0.22,0.524,0.188,
-0.1,0.417,0.188,
0.061,0.47,0.188,
-0.215,0.378,0.188,
0.125,0.492,0.188,
0.091,0.48,0.188,
-0.288,0.354,0.188,
-0.267,0.361,0.188,
0.282,0.544,0.188,
0.133,0.495,0.188,
0.2,0.517,0.188,
0.264,0.538,0.188,
-0.173,0.392,0.188,
-0.3,0.35,0.188,
-0.191,0.386,0.188,
0.296,0.549,0.188,
